EUR,06-22-2018,06-21-2018,06-20-2018,06-19-2018,06-18-2018
EuroLIBOR-overnight,-0.44186,-0.44086,-0.44014,-0.44014,-0.44086
EuroLIBOR-1week,-0.42843,-0.42986,-0.42843,-0.42843,-0.42700
EuroLIBOR-2weeks,-,-,-,-,-
EuroLIBOR-1month,-0.39686,-0.39843,-0.39843,-0.39871,-0.39871
EuroLIBOR-2months,-0.37343,-0.37314,-0.37314,-0.37314,-0.37029
EuroLIBOR-3months,-0.36786,-0.36600,-0.36600,-0.36286,-0.35571
EuroLIBOR-4months,-,-,-,-,-
EuroLIBOR-5months,-,-,-,-,-
EuroLIBOR-6months,-0.31786,-0.31186,-0.31114,-0.30614,-0.30471
EuroLIBOR-7months,-,-,-,-,-
EuroLIBOR-8months,-,-,-,-,-
EuroLIBOR-9months,-,-,-,-,-
EuroLIBOR-10months,-,-,-,-,-
EuroLIBOR-11months,-,-,-,-,-
EuroLIBOR-12months,-0.23214,-0.23686,-0.23614,-0.23543,-0.23400
