EUR,06-22-2018,06-21-2018,06-20-2018,06-19-2018,06-18-2018
Euro LIBOR - overnight,-0.44186 %,-0.44086 %,-0.44014 %,-0.44014 %,-0.44086 %
Euro LIBOR - 1 week,-0.42843 %,-0.42986 %,-0.42843 %,-0.42843 %,-0.42700 %
Euro LIBOR - 2 weeks,-,-,-,-,-
Euro LIBOR - 1 month,-0.39686 %,-0.39843 %,-0.39843 %,-0.39871 %,-0.39871 %
Euro LIBOR - 2 months,-0.37343 %,-0.37314 %,-0.37314 %,-0.37314 %,-0.37029 %
Euro LIBOR - 3 months,-0.36786 %,-0.36600 %,-0.36600 %,-0.36286 %,-0.35571 %
Euro LIBOR - 4 months,-,-,-,-,-
Euro LIBOR - 5 months,-,-,-,-,-
Euro LIBOR - 6 months,-0.31786 %,-0.31186 %,-0.31114 %,-0.30614 %,-0.30471 %
Euro LIBOR - 7 months,-,-,-,-,-
Euro LIBOR - 8 months,-,-,-,-,-
Euro LIBOR - 9 months,-,-,-,-,-
Euro LIBOR - 10 months,-,-,-,-,-
Euro LIBOR - 11 months,-,-,-,-,-
Euro LIBOR - 12 months,-0.23214 %,-0.23686 %,-0.23614 %,-0.23543 %,-0.23400 %
